time,time_ms,latitude,longitude,elevation,airspeed,pressure_diff,temp,satellites,lat_smooth,lon_smooth,ground_speed_mps,track_deg
22:34:37,136674,34.01907349,-118.44706726,54.5,17.12,179.48,41.09,7,34.019042204,-118.44701995933335,0.7068290828895089,359.99999946916165
22:34:37,136878,34.01907349,-118.44706726,54.5,17.61,190.0,41.09,7,34.01904627333333,-118.44702555399999,0.7068290868913748,5.308383492774738e-07
22:34:37,137080,34.01907349,-118.44706726,54.5,18.91,218.94,41.09,7,34.01905034266667,-118.44703114866667,0.5301218122057031,5.308383492774738e-07
22:34:38,137312,34.01909637,-118.44709015,54.4,7.01,30.09,41.09,7,34.019055937333334,-118.44703826933333,0.7068290829409375,359.99999946916165
22:34:38,137543,34.01909637,-118.44709015,54.4,25.53,399.37,41.09,7,34.01906026066667,-118.44704386400001,0.7068290829409375,5.308383492774738e-07
22:34:38,137743,34.01909637,-118.44709015,54.4,19.95,243.66,41.09,7,34.019064584,-118.44704945866667,0.7068290828895089,359.99999946916165
22:34:38,137944,34.01909637,-118.44709015,54.4,19.71,237.87,41.09,7,34.019068907333335,-118.44705505333333,0.7068290868913748,5.308383492774738e-07
22:34:38,138148,34.01909637,-118.44709015,54.4,16.74,171.59,41.09,7,34.01907323066667,-118.44706064799999,0.5301218122057031,5.308383492774738e-07
22:34:39,138391,34.01911163,-118.4471283,54.9,21.86,292.58,41.09,7,34.01907857133333,-118.447068786,0.7068290829409375,359.99999946916165
22:34:39,138622,34.01911163,-118.4471283,54.9,19.09,223.14,41.09,7,34.019082386,-118.44707539866666,0.7068290829409375,5.308383492774738e-07
22:34:39,138822,34.01911163,-118.4471283,54.9,20.6,259.97,41.09,7,34.01908620066666,-118.44708201133334,0.7068290828895089,359.99999946916165
22:34:39,139026,34.01911163,-118.4471283,54.9,15.23,142.13,41.09,7,34.01909001533333,-118.44708862399999,0.7068290868913748,5.308383492774738e-07
22:34:40,139226,34.01912689,-118.44717407,54.9,16.84,173.7,41.09,7,34.01909484733333,-118.447098288,0.5301218122057031,5.308383492774738e-07
22:34:40,139460,34.01912689,-118.44717407,55.1,7.01,30.09,41.09,7,34.01909840733333,-118.44710540866666,0.7068290829409375,359.99999946916165
22:34:40,139665,34.01912689,-118.44717407,55.1,15.76,152.13,41.09,7,34.019101967333334,-118.44711252933332,0.7068290829409375,5.308383492774738e-07
22:34:40,139865,34.01912689,-118.44717407,55.1,21.16,274.17,40.62,7,34.01910552733333,-118.44711965,0.7068290828895089,359.99999946916165
22:34:40,140069,34.01912689,-118.44717407,55.1,11.55,81.64,41.09,7,34.019109087333334,-118.44712677066667,0.7068290868913748,5.308383492774738e-07
22:34:41,140296,34.01913452,-118.44722748,55.1,16.14,159.49,41.09,7,34.019113155999996,-118.447137452,0.5301218122057031,5.308383492774738e-07
22:34:41,140538,34.01913452,-118.44722748,55.3,13.4,110.05,40.62,7,34.019115699333334,-118.44714660733332,0.7068290829409375,359.99999946916165
22:34:41,140742,34.01913452,-118.44722748,55.3,3.84,9.05,41.09,7,34.01911824266667,-118.44715576266667,0.7068290829409375,5.308383492774738e-07
22:34:41,140944,34.01913452,-118.44722748,55.3,11.69,83.74,41.09,7,34.019120786,-118.447164918,0.7068290828895089,359.99999946916165
22:34:41,141145,34.01913452,-118.44722748,55.3,6.95,29.56,41.09,7,34.01912332933333,-118.44717407333333,0.7068290868913748,5.308383492774738e-07
22:34:42,141382,34.01914215,-118.44727325,55.3,17.32,183.69,41.56,7,34.019126381333336,-118.44718628000001,0.7267520072423355,331.0656599102067
22:34:42,141617,34.01914215,-118.44727325,55.3,9.6,56.39,41.09,7,34.019128416,-118.44719594333334,0.6119174938458598,337.4762366068413
22:34:42,141818,34.01914215,-118.44727325,55.3,0.0,-4.1,41.09,7,34.019130450666665,-118.44720560666666,0.6119174927258886,337.4762367228117
22:34:42,142019,34.01914215,-118.44727325,55.3,12.05,89.01,41.09,7,34.01913248533334,-118.44721527,0.6119174928354821,337.47623765888443
22:34:43,142225,34.01914597,-118.44732666,55.3,0.0,-443.87,41.09,7,34.01913477466667,-118.447228494,0.7267520072423355,331.0656599102067
22:34:43,142459,34.01914597,-118.44732666,55.3,9.73,57.97,41.09,7,34.01913604666667,-118.44723866666666,0.6119174938458598,337.4762366068413
22:34:43,142666,34.01914597,-118.44732666,55.3,11.69,83.74,41.09,7,34.01913731866667,-118.44724883933333,0.6119174927258886,337.4762367228117
22:34:43,142866,34.01914597,-118.44732666,55.3,15.76,152.13,41.09,7,34.019138590666664,-118.44725901199999,0.6119174928354821,337.47623765888443
22:34:43,143067,34.01914597,-118.44732666,55.3,21.04,271.01,41.09,7,34.01913986266666,-118.44726918466667,0.7267520072423355,331.0656599102067
22:34:44,143277,34.01914215,-118.44738007,55.3,23.37,334.66,41.09,7,34.019140879999995,-118.447282918,0.6119174938458598,337.4762366068413
