time,latitude,longitude,elevation,airspeed,temp,satellites
08:17:40,34.07068253,-118.45080566,146.60,,27.51,5
08:17:41,34.07069016,-118.45078278,150.80,,27.98,5
08:17:42,34.07069397,-118.45076752,151.40,,27.98,5
08:17:43,34.07069397,-118.45075989,152.00,,27.51,5
08:17:44,34.07069397,-118.45075226,152.40,,27.98,5
08:17:45,34.07069778,-118.45074463,153.40,,27.98,5
08:17:46,34.07069778,-118.45072937,154.50,,27.98,5
08:17:47,34.07070541,-118.45071411,155.30,,27.98,5
08:17:48,34.07070160,-118.45069885,155.80,,27.98,5
08:17:49,34.07070541,-118.45069122,154.10,,27.98,5
08:17:50,34.07071304,-118.45068359,152.10,,27.98,5
08:17:51,34.07070541,-118.45067596,151.40,,27.98,5
08:17:52,34.07070923,-118.45066833,151.20,,27.98,5
08:17:53,34.07070923,-118.45065308,150.60,,27.51,5
08:17:54,34.07070923,-118.45063782,149.30,,27.98,5
08:17:55,34.07070923,-118.45062256,149.00,,27.98,5
08:17:56,34.07071304,-118.45061493,148.80,,27.98,5
08:17:57,34.07071304,-118.45059204,147.90,,27.98,5
08:17:58,34.07071686,-118.45058441,147.30,,27.98,5
08:17:59,34.07072067,-118.45055389,147.10,,27.98,5
08:18:00,34.07072830,-118.45053101,146.40,,27.98,5
08:18:01,34.07073975,-118.45051575,144.60,,27.98,5
08:18:02,34.07075119,-118.45049286,144.60,,27.51,5
08:18:03,34.07075882,-118.45046997,145.00,,27.98,5
08:18:04,34.07076645,-118.45044708,145.00,,27.98,5
08:18:05,34.07077408,-118.45043182,145.20,,27.98,5
08:18:06,34.07078552,-118.45040894,146.00,,27.51,5
08:18:07,34.07079697,-118.45040131,147.60,,27.98,5
08:18:08,34.07081223,-118.45038605,148.40,,27.51,5
08:18:09,34.07081985,-118.45037842,149.20,,27.51,5
08:18:10,34.07082367,-118.45037842,149.70,,27.98,5
08:18:11,34.07082748,-118.45038605,149.90,,27.98,5
08:18:12,34.07083511,-118.45037842,149.20,,27.98,5
08:18:13,34.07083893,-118.45037842,149.50,,27.51,4
08:18:14,34.07083893,-118.45039368,149.40,,27.98,5
08:18:15,34.07084274,-118.45038605,149.80,,27.98,5
08:18:16,34.07084274,-118.45039368,149.00,,27.51,5
08:18:17,34.07085037,-118.45040131,149.50,,27.98,5
08:18:18,34.07085037,-118.45040894,149.90,,27.98,5
08:18:20,34.07086945,-118.45039368,149.20,,27.98,5
08:18:21,34.07088089,-118.45037842,148.60,,27.98,5
08:18:22,34.07089233,-118.45036316,148.00,,27.98,5
08:18:23,34.07089996,-118.45034027,148.20,,27.98,5
08:18:24,34.07090759,-118.45031738,149.20,,27.98,5
08:18:25,34.07091141,-118.45030212,150.40,,27.51,5
08:18:26,34.07092667,-118.45030212,152.30,,27.98,5
08:18:27,34.07093430,-118.45030212,151.00,,27.51,5
08:18:28,34.07094193,-118.45029449,150.10,,27.51,5
08:18:29,34.07095337,-118.45028687,150.20,,27.51,5
08:18:30,34.07095718,-118.45028687,150.50,,27.98,5
08:18:31,34.07096100,-118.45028687,151.30,,27.98,5
08:18:32,34.07097244,-118.45027161,152.10,,27.98,5
08:18:33,34.07098389,-118.45027924,153.00,,27.98,5
08:18:34,34.07099533,-118.45027161,154.10,,27.51,5
08:18:35,34.07100296,-118.45026398,154.70,,27.98,5
08:18:36,34.07100296,-118.45026398,155.60,,27.98,5
08:18:37,34.07099915,-118.45025635,156.00,,27.51,5
08:18:38,34.07099152,-118.45025635,156.60,,27.98,5
08:18:39,34.07098770,-118.45025635,157.10,,27.51,5
08:18:40,34.07098389,-118.45026398,158.80,,27.98,5
08:18:41,34.07098389,-118.45026398,158.80,,27.98,5
08:18:42,34.07098007,-118.45027161,160.50,,27.98,5
08:18:43,34.07098389,-118.45027161,161.10,,27.98,5
