timestamp,airspeed,elevation
1900-01-01 21:14:13.743,13.03,51.0
1900-01-01 21:14:13.944,7.85,51.0
1900-01-01 21:14:15.151,16.98,51.0
1900-01-01 21:14:15.351,16.62,51.0
1900-01-01 21:14:15.555,3.68,51.0
1900-01-01 21:14:15.756,7.69,51.0
1900-01-01 21:14:15.959,8.78,51.0
1900-01-01 21:14:17.163,0.0,51.0
1900-01-01 21:14:17.368,14.35,51.3
1900-01-01 21:14:17.571,8.28,51.3
1900-01-01 21:14:17.771,5.23,51.3
1900-01-01 21:14:17.978,0.0,51.3
1900-01-01 21:14:19.178,9.71,50.4
1900-01-01 21:14:19.389,6.98,50.4
1900-01-01 21:14:19.589,9.53,50.4
1900-01-01 21:14:19.792,12.5,50.4
1900-01-01 21:14:20.000,17.51,50.4
1900-01-01 21:14:21.205,8.88,50.1
1900-01-01 21:14:21.405,7.96,50.1
1900-01-01 21:14:21.607,3.57,50.1
1900-01-01 21:14:21.811,6.54,50.1
1900-01-01 21:14:22.017,2.9,50.1
1900-01-01 21:14:23.221,18.92,49.7
1900-01-01 21:14:23.422,0.0,49.7
1900-01-01 21:14:23.622,7.4,49.7
1900-01-01 21:14:23.825,13.61,49.7
1900-01-01 21:14:24.027,11.19,49.7
1900-01-01 21:14:25.227,18.18,50.1
1900-01-01 21:14:25.428,7.05,50.1
1900-01-01 21:14:25.630,11.6,50.1
1900-01-01 21:14:25.832,10.39,50.1
1900-01-01 21:14:26.032,15.88,50.1
1900-01-01 21:14:27.239,9.67,50.8
1900-01-01 21:14:27.442,2.42,50.8
1900-01-01 21:14:27.645,10.02,50.8
1900-01-01 21:14:27.849,14.76,50.8
1900-01-01 21:14:29.051,9.44,50.8
1900-01-01 21:14:29.257,2.03,50.6
1900-01-01 21:14:29.461,14.88,50.6
1900-01-01 21:14:29.662,12.32,50.6
1900-01-01 21:14:29.866,10.14,50.6
1900-01-01 21:14:31.066,12.18,50.6
1900-01-01 21:14:31.268,10.39,50.3
1900-01-01 21:14:31.472,13.39,50.3
1900-01-01 21:14:31.673,14.11,50.3
1900-01-01 21:14:31.874,14.17,50.3
1900-01-01 21:14:33.087,6.98,50.3
1900-01-01 21:14:33.288,0.0,50.1
1900-01-01 21:14:33.491,13.42,50.1
1900-01-01 21:14:33.693,13.58,50.1
1900-01-01 21:14:33.894,12.0,50.1
1900-01-01 21:14:35.095,9.4,50.1
1900-01-01 21:14:35.298,14.97,50.4
1900-01-01 21:14:35.499,8.58,50.4
1900-01-01 21:14:35.703,9.67,50.4
1900-01-01 21:14:35.907,7.85,50.4
1900-01-01 21:14:37.111,9.02,50.4
1900-01-01 21:14:37.311,11.15,50.5
1900-01-01 21:14:37.514,15.88,50.5
1900-01-01 21:14:37.714,18.34,50.5
1900-01-01 21:14:37.917,0.0,50.5
1900-01-01 21:14:39.126,16.75,50.5
1900-01-01 21:14:39.330,0.0,51.0
1900-01-01 21:14:39.530,9.67,51.0
1900-01-01 21:14:39.733,0.0,51.0
1900-01-01 21:14:39.934,6.13,51.0
1900-01-01 21:14:41.139,12.29,51.0
1900-01-01 21:14:41.340,11.53,51.8
1900-01-01 21:14:41.540,11.6,51.8
1900-01-01 21:14:41.740,12.22,51.8
1900-01-01 21:14:41.944,13.61,51.8
1900-01-01 21:14:43.149,7.85,51.8
1900-01-01 21:14:43.350,10.52,51.5
1900-01-01 21:14:43.550,15.25,51.5
1900-01-01 21:14:43.751,12.67,51.5
1900-01-01 21:14:43.954,3.32,51.5
1900-01-01 21:14:45.156,14.38,52.1
